,Achievement,Aesthetic,Anxiety Disorder,Breadth of Interest,Economic,Empathy,Organization,Political,Positive coping,Religious,Resilience,Social,Social Complexity,Social Cynicism,Theoretical,Uncertainty Avoidance,Understanding
7502.0,14/22/65/5/1/20,2/35/64/2/0/24,29/25/47/4/3/19,0/36/65/0/1/25,22/14/65/2/1/23,22/25/54/0/15/11,22/18/61/0/2/24,8/22/71/1/0/25,24/9/68/12/1/13,4/12/85/1/0/25,4/30/67/2/1/23,3/11/87/1/2/23,15/24/62/0/18/8,1/9/91/0/19/7,3/3/95/0/1/25,22/14/65/2/3/21,6/7/88/5/2/19
8387.0,25/27/49/1/15/10,30/22/49/7/6/13,15/35/51/15/5/6,11/27/63/1/5/20,37/16/48/19/0/7,61/7/33/10/3/13,37/19/45/1/0/25,40/26/35/0/14/12,38/20/43/11/6/9,14/53/34/0/22/4,27/22/52/1/3/22,32/6/63/2/17/7,13/37/51/15/0/11,3/25/73/6/2/18,23/18/60/0/17/9,34/3/64/8/1/17,23/11/67/3/6/17
10096.0,30/27/44/1/20/5,27/38/36/3/22/1,34/37/30/7/15/4,41/15/45/10/1/15,45/15/41/21/1/4,61/14/26/15/3/8,34/20/47/1/9/16,49/26/26/0/20/6,7/28/66/2/15/9,27/30/44/0/22/4,25/24/52/0/22/4,27/30/44/4/8/14,6/36/59/7/6/13,13/1/87/1/12/13,63/0/38/9/4/13,27/30/44/4/16/6,41/10/50/17/4/5
10454.0,21/20/60/8/5/13,4/53/44/9/0/17,34/26/41/14/2/10,1/39/61/0/2/24,18/20/63/5/3/18,19/44/38/2/6/18,33/9/59/1/4/21,5/36/60/1/0/25,47/3/51/12/6/8,5/25/71/1/3/22,3/49/49/1/3/22,4/8/89/1/2/23,11/36/54/0/19/7,8/1/92/2/16/8,4/3/94/0/1/25,32/16/53/8/1/17,5/17/79/4/7/15
10605.0,20/46/35/5/6/15,13/53/35/4/12/10,47/27/27/8/6/12,2/42/57/8/4/14,12/59/30/6/5/15,57/14/30/3/16/7,7/55/39/1/3/22,4/62/35/0/9/17,32/2/67/11/7/8,20/38/43/1/0/25,11/54/36/2/11/13,4/14/83/4/0/22,17/44/40/2/24/0,3/17/81/1/2/23,36/3/62/0/9/17,42/17/42/13/0/13,10/16/75/15/4/7
11712.0,11/12/78/5/7/14,23/14/64/4/1/21,28/27/46/3/2/21,1/6/94/0/7/19,9/22/70/11/3/12,10/34/57/8/4/14,25/20/56/0/2/24,16/29/56/0/0/26,15/7/79/1/8/17,3/19/79/0/10/16,9/37/55/1/2/23,8/3/90/1/0/25,14/47/40/1/20/5,1/1/99/8/8/10,12/17/72/0/12/14,14/13/74/12/4/10,9/11/81/7/9/10
12703.0,17/17/67/1/10/15,15/13/73/8/0/18,48/26/27/18/2/6,1/62/38/1/0/25,13/24/64/4/3/19,8/39/54/1/20/5,13/29/59/1/1/24,13/26/62/1/0/25,36/6/59/19/0/7,15/13/73/1/3/22,10/18/73/2/0/24,2/4/95/4/2/20,14/33/54/8/6/12,39/2/60/0/17/9,2/3/96/0/1/25,31/10/60/18/0/8,6/11/84/3/6/17
14049.0,22/35/44/5/7/14,10/57/34/12/3/11,28/32/41/14/2/10,2/41/58/0/9/17,13/35/53/8/11/7,40/27/34/0/23/3,6/77/18/1/16/9,47/16/38/0/5/21,32/12/57/18/2/6,21/29/51/1/3/22,12/53/36/4/2/20,16/12/73/5/0/21,28/35/38/2/22/2,44/2/55/18/2/6,38/7/56/1/12/13,55/8/38/14/1/11,13/27/61/4/10/12
14185.0,22/30/49/4/9/13,29/20/52/5/9/12,34/24/43/12/3/11,8/18/75/3/7/16,21/19/61/18/1/7,19/43/39/13/7/6,23/33/45/1/6/19,37/13/51/0/0/26,38/4/59/6/10/10,12/31/58/0/10/16,9/25/67/3/2/21,4/19/78/1/4/21,20/31/50/1/15/10,6/17/78/8/2/16,19/3/79/0/5/21,28/7/66/17/1/8,4/21/76/14/2/10
14351.0,17/14/70/4/2/20,3/39/59/0/0/26,25/25/51/2/4/20,1/37/63/1/0/25,10/32/59/6/3/17,19/24/58/0/16/10,26/10/65/0/1/25,7/19/75/0/0/26,24/8/69/23/0/3,3/15/83/2/1/23,2/29/70/1/0/25,3/5/93/0/0/26,18/36/47/3/14/9,3/3/95/0/18/8,1/6/94/0/1/25,26/11/64/0/3/23,1/14/86/4/1/21
